model,accuracy,precision_macro,recall_macro,f1_macro
Logistic Regression,0.864651866446188,0.7129075839417615,0.601196947716293,0.6305593044603816
Naive Bayes,0.8156422615487458,0.6979238532093648,0.41987109206293133,0.43322360009284727
